Game,#,Text/Question,Category,Correct Answer,Option B,Option C,Option D,Explanation
BINGO,1,"Uses the PAUSE framework before prompting an AI tool — checks for Personal data, Approved tool, Understand purpose, Share minimally, Evaluate output.",,,,,,
BINGO,2,"Can name at least 3 AI Ethics Principles from the poster (e.g. Transparency, Accountability, Fairness, Inclusiveness, Privacy & Security).",,,,,,
BINGO,3,"Always uses enterprise AI tools instead of public ones like personal ChatGPT or personal Gemini for work tasks.",,,,,,
BINGO,4,"Locks their computer screen every single time they leave their desk, even for a quick coffee run.",,,,,,
BINGO,5,"Knows what SORRY stands for — Small actions, Stronger Protections (Store, Organise, Restrict, Retain, Your responsibility).",,,,,,
BINGO,6,"Has reported a suspicious email or potential data breach using the See It, Note It, Report It process.",,,,,,
BINGO,7,"Double-checks the email recipient and attachment before hitting send, especially when it contains personal data.",,,,,,
BINGO,8,"Knows that AI must be tested, safe, and controllable — the Reliability, Safety & Control principle.",,,,,,
BINGO,9,"Uses classification tags like Confidential or Secret when labelling sensitive documents.",,,,,,
BINGO,10,"Understands that humans remain responsible and accountable for AI outcomes, not the AI system itself.",,,,,,
BINGO,11,"Reviews shared folder access regularly to ensure only the right people can see sensitive files.",,,,,,
BINGO,12,"Knows that sensitive personal data includes biometrics, health conditions, religious beliefs and criminal records.",,,,,,
BINGO,13,"Uses BCC instead of CC when emailing a large group of external contacts to protect their privacy.",,,,,,
BINGO,14,"Can explain the Stop, Think, Protect steps — Verify, Inform, Validate, Protect, Dispose.",,,,,,
BINGO,15,"Knows that data breaches in Malaysia surged from 50 cases in 2022 to 644 cases in 2023.",,,,,,
BINGO,16,"Checks AI-generated content for hallucinations, bias, and accuracy before using it in any decision.",,,,,,
JEOPARDY,1,"What does Responsible AI anchor on?","Responsible AI","Trustworthiness","Innovation","Efficiency","Automation","Responsible AI is about AI that is dependable, reliable, explainable, and safe — anchored on trustworthiness."
JEOPARDY,2,"Which is NOT an AI Ethics Principle from the poster?","Responsible AI","Profitability","Transparency","Fairness","Inclusiveness","The principles are Transparency, Accountability, Fairness, Inclusiveness, Privacy & Security, Reliability, and Pursuit of Human Benefit. Profitability is not one."
JEOPARDY,3,"What does the ""P"" in PAUSE stand for?","AI Best Practices","Personal or sensitive data?","Public access only","Prompt carefully","Protect the model","Before you prompt, PAUSE: P = Is this Personal or sensitive data?"
JEOPARDY,4,"Who remains accountable for AI decisions and outcomes?","AI Best Practices","Humans","The AI system","The AI vendor","The data team","The Accountability principle: humans remain responsible for AI outcomes."
JEOPARDY,5,"Which of these is sensitive personal data under PDPA?","Data Protection","Biometrics","Email address","Company name","Job title","Sensitive personal data includes political opinions, religious beliefs, criminal records, health conditions, and biometric data."
JEOPARDY,6,"What are the 3 steps in ""See It. Note It. Report It.""?","Data Protection","Spot, Record, Report","Find, Fix, Forget","Check, Copy, Close","Look, Log, Leave","Spot unusual activity, Record what happened, Report to Data Protection Officer immediately."
JEOPARDY,7,"The Retention Principle says you should...","PDPA Principles","Delete data when its purpose is complete","Keep data forever for reference","Store data on USB drives","Share data with all departments","Keep data only as long as needed."
JEOPARDY,8,"Non-compliance with PDPA can result in fines of up to...","PDPA Principles","RM1 million and/or 3 years imprisonment","RM10,000 warning","RM500 fine only","No penalty exists","Non-compliance with PDPA can result in fines of up to RM1 million and/or imprisonment of up to 3 years."
